name,prompt,negative_prompt
Vintage-Inspired Ballroom Elegance,"Vintage-Inspired Ballroom Elegance, designing {prompt} with retro-inspired details in a ball gown silhouette, emphasizing nostalgic looks, vintage patterns, and a timeless appeal in vintage ball gown dress fashion","vintage-inspired ballroom elegance with poor representation of vintage design, lack of emphasis on nostalgic looks, unimpressive capture of vintage patterns, uninspired vintage ball gown dress design"
Chic Minimalist Ball Gown,"Chic Minimalist Ball Gown, designing {prompt} with a chic and minimalist ball gown silhouette, emphasizing clean lines, subtle details, and a contemporary charm in minimalist ball gown dress fashion","chic minimalist ball gown with poor representation of chic design, lack of emphasis on clean looks, unimpressive capture of subtle details, uninspired minimalist ball gown dress design"
Regal Velvet Ball Gown,"Regal Velvet Ball Gown, designing {prompt} with regal velvet fabric in a ball gown silhouette, emphasizing a luxurious look, rich textures, and the opulent allure of velvet ball gown dresses","regal velvet ball gown with poor representation of regal design, lack of emphasis on luxurious looks, unimpressive capture of rich textures, uninspired velvet ball gown dress design"
Dramatic High-Low Ball Gown,"Dramatic High-Low Ball Gown, designing {prompt} with a dramatic high-low silhouette, emphasizing modern details, playful asymmetry, and a fashion-forward approach in high-low ball gown dress fashion","dramatic high-low ball gown with poor representation of dramatic design, lack of emphasis on modern looks, unimpressive capture of playful asymmetry, uninspired high-low ball gown dress design"
Timeless Satin Ball Gown,"Timeless Satin Ball Gown, designing {prompt} with timeless satin fabric in a ball gown silhouette, emphasizing a classic look, clean lines, and a sophisticated elegance in satin ball gown dress fashion","timeless satin ball gown with poor representation of timeless design, lack of emphasis on classic looks, unimpressive capture of clean lines, uninspired satin ball gown dress design"
Royal Blue Elegance,"Royal Blue Elegance, designing {prompt} with a royal blue ball gown silhouette, emphasizing a majestic look, vibrant color, and a regal appeal in royal blue ball gown dresses","royal blue elegance with poor representation of royal blue design, lack of emphasis on majestic looks, unimpressive capture of vibrant color, uninspired royal blue ball gown dress design"
Fairytale Floral Fantasy,"Fairytale Floral Fantasy, designing {prompt} with fairytale-inspired floral patterns in a ball gown silhouette, emphasizing a whimsical look, intricate detailing, and a touch of magic in floral ball gown dress fashion","fairytale floral fantasy with poor representation of fairytale design, lack of emphasis on whimsical looks, unimpressive capture of intricate detailing, uninspired floral ball gown dress design"
Charming Off-Shoulder Ball Gown,"Charming Off-Shoulder Ball Gown, designing {prompt} with an off-shoulder neckline in a ball gown silhouette, emphasizing a romantic look, delicate details, and a timeless charm in off-shoulder ball gown dress fashion","charming off-shoulder ball gown with poor representation of charming design, lack of emphasis on romantic looks, unimpressive capture of delicate details, uninspired off-shoulder ball gown dress design"
Bold Sequin Sparkle,"Bold Sequin Sparkle, designing {prompt} with bold sequin embellishments in a ball gown silhouette, emphasizing a dazzling look, chic details, and a red-carpet-worthy approach in sequin ball gown dress fashion","bold sequin sparkle with poor representation of bold design, lack of emphasis on dazzling looks, unimpressive capture of chic details, uninspired sequin ball gown dress design"
Modern High-Neck Ball Gown,"Modern High-Neck Ball Gown, designing {prompt} with a modern high-neck neckline in a ball gown silhouette, emphasizing a contemporary look, sleek lines, and a fashion-forward approach in high-neck ball gown dress fashion","modern high-neck ball gown with poor representation of modern design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired high-neck ball gown dress design"
Chic Bow Detail Ball Gown,"Chic Bow Detail Ball Gown, designing {prompt} with chic bow details in a ball gown silhouette, emphasizing a stylish look, playful accents, and a trendy charm in bow detail ball gown dress fashion","chic bow detail ball gown with poor representation of chic design, lack of emphasis on stylish looks, unimpressive capture of playful accents, uninspired bow detail ball gown dress design"
Enchanting Mermaid Elegance,"Enchanting Mermaid Elegance, designing {prompt} with an enchanting mermaid silhouette, emphasizing a mystical look, intricate detailing, and a touch of ocean-inspired beauty in mermaid dress fashion","enchanting mermaid elegance with poor representation of enchanting design, lack of emphasis on mystical looks, unimpressive capture of intricate detailing, uninspired mermaid dress design"
Elegant Lace Mermaid,"Elegant Lace Mermaid, designing {prompt} with elegant lace embellishments in a mermaid silhouette, emphasizing a romantic look, ethereal textures, and timeless sophistication in lace mermaid dress fashion","elegant lace mermaid with poor representation of elegant design, lack of emphasis on romantic looks, unimpressive capture of ethereal textures, uninspired lace mermaid dress design"
Bold Sequin Mermaid Sparkle,"Bold Sequin Mermaid Sparkle, designing {prompt} with bold sequin embellishments in a mermaid silhouette, emphasizing a dazzling look, chic details, and a red-carpet-worthy approach in sequin mermaid dress fashion","bold sequin mermaid sparkle with poor representation of bold design, lack of emphasis on dazzling looks, unimpressive capture of chic details, uninspired sequin mermaid dress design"
Modern Off-Shoulder Mermaid,"Modern Off-Shoulder Mermaid, designing {prompt} with a modern off-shoulder neckline in a mermaid silhouette, emphasizing a contemporary look, sleek lines, and a fashion-forward approach in off-shoulder mermaid dress fashion","modern off-shoulder mermaid with poor representation of modern design, lack of emphasis on contemporary looks, unimpressive capture of sleek lines, uninspired off-shoulder mermaid dress design"
Chic High-Low Mermaid,"Chic High-Low Mermaid, designing {prompt} with a chic high-low hemline in a mermaid silhouette, emphasizing modern details, playful asymmetry, and a fashion-forward approach in high-low mermaid dress fashion","chic high-low mermaid with poor representation of chic design, lack of emphasis on modern looks, unimpressive capture of playful asymmetry, uninspired high-low mermaid dress design"
Romantic Tulle Mermaid,"Romantic Tulle Mermaid, designing {prompt} with romantic tulle fabric in a mermaid silhouette, emphasizing a dreamy look, delicate details, and a touch of whimsy in tulle mermaid dress fashion","romantic tulle mermaid with poor representation of romantic design, lack of emphasis on dreamy looks, unimpressive capture of delicate details, uninspired tulle mermaid dress design"
Regal Velvet Mermaid,"Regal Velvet Mermaid, designing {prompt} with regal velvet fabric in a mermaid silhouette, emphasizing a luxurious look, rich textures, and the opulent allure of velvet mermaid dresses","regal velvet mermaid with poor representation of regal design, lack of emphasis on luxurious looks, unimpressive capture of rich textures, uninspired velvet mermaid dress design"
Bohemian Crochet Mermaid,"Bohemian Crochet Mermaid, designing {prompt} with bohemian crochet details in a mermaid silhouette, emphasizing a relaxed look, earthy textures, and a touch of boho-chic in crochet mermaid dress fashion","bohemian crochet mermaid with poor representation of bohemian design, lack of emphasis on relaxed looks, unimpressive capture of earthy textures, uninspired crochet mermaid dress design"
Vibrant Colorful Mermaid,"Vibrant Colorful Mermaid, designing {prompt} with vibrant and colorful hues in a mermaid silhouette, emphasizing a lively look, bold shades, and a touch of vibrant elegance in colorful mermaid dress fashion","vibrant colorful mermaid with poor representation of vibrant design, lack of emphasis on lively looks, unimpressive capture of bold shades, uninspired colorful mermaid dress design"
Dramatic Ruffled Mermaid,"Dramatic Ruffled Mermaid, designing {prompt} with dramatic ruffled details in a mermaid silhouette, emphasizing modern details, bold textures, and a fashion-forward approach in ruffled mermaid dress fashion","dramatic ruffled mermaid with poor representation of dramatic design, lack of emphasis on modern looks, unimpressive capture of bold textures, uninspired ruffled mermaid dress design"
